Table 1
اسم المادة,السعر,الاسم التركي,الاسم اللاتيني,اسم المجموعة,اسم المجموعة اللاتيني,الصور
موهيتو باشن دراق ريد بول وسط,240.00,Passion Şeftali mojito RedBull orta,Passion peach mojito RedBull medium,الموهيتو,Mojitos,
موهيتو باشن دراق سفن وسط,220.00,Passion Şeftali mojito 7up orta,Passion peach mojito 7up medium,الموهيتو,Mojitos,
موهيتو باشن دراق صودا وسط,200.00,Passion Şeftali mojito soda orta,Passion peach mojito soda medium,الموهيتو,Mojitos,
موهيتو برتقال دراق ريد بول وسط,240.00,portakal Şeftali mojito RedBull orta,Orange peach mojito RedBull medium,الموهيتو,Mojitos,
موهيتو برتقال دراق سفن وسط,220.00,portakal Şeftali mojito 7up orta,Orange peach mojito 7up medium,الموهيتو,Mojitos,
موهيتو برتقال دراق صودا وسط,200.00,portakal Şeftali mojito soda orta,Orange peach mojito soda medium,الموهيتو,Mojitos,
موهيتو دراق ريد بول وسط,240.00,Şeftali mojito RedBull orta,Peach mojito RedBull medium,الموهيتو,Mojitos,
موهيتو دراق سفن وسط,220.00,Şeftali mojito 7up orta,Peach mojito 7up medium,الموهيتو,Mojitos,
موهيتو دراق صودا وسط,200.00,Şeftali mojito soda orta,Peach mojito soda medium,الموهيتو,Mojitos,
موهيتو رمان ريد بول وسط,240.00,Pomegranate mojito RedBull orta,Pomegranate mojito RedBull medium,الموهيتو,Mojitos,
موهيتو رمان سفن وسط,220.00,Pomegranate mojito 7up orta,Pomegranate mojito 7up medium,الموهيتو,Mojitos,
موهيتو رمان صودا وسط,200.00,Pomegranate mojito soda orta,Pomegranate mojito soda medium,الموهيتو,Mojitos,
موهيتو زنجبيل ريد بول وسط,240.00,zencefil mojito RedBull orta,Ginger mojito RedBull medium,الموهيتو,Mojitos,
موهيتو زنجبيل سفن وسط,220.00,zencefil mojito 7up orta,Ginger mojito 7up medium,الموهيتو,Mojitos,
موهيتو زنجبيل صودا وسط,200.00,zencefil mojito soda orta,Ginger mojito soda medium,الموهيتو,Mojitos,
موهيتو فريز ريد بول وسط,240.00,ÇİLEK mojito RedBull orta,Strawberry mojito RedBull medium,الموهيتو,Mojitos,
موهيتو فريز سفن وسط,220.00,ÇİLEK mojito 7up orta,Strawberry mojito 7up medium,الموهيتو,Mojitos,
موهيتو فريز صودا وسط,200.00,ÇİLEK mojito soda orta,Strawberry mojito soda medium,الموهيتو,Mojitos,
موهيتو كلاسيك ريد بول وسط,240.00,Mojito classic RedBull orta,Mojito classic RedBull medium,الموهيتو,Mojitos,
موهيتو كلاسيك سفن وسط,220.00,Mojito classic 7up orta,Mojito classic 7up medium,الموهيتو,Mojitos,
موهيتو كلاسيك صودا وسط,200.00,Mojito classic soda orta,Mojito classic soda medium,الموهيتو,Mojitos,
موهيتو كيوي ريد بول وسط,240.00,Kiwi mojito RedBull orta,Kiwi mojito RedBull medium,الموهيتو,Mojitos,
موهيتو كيوي سفن وسط,220.00,Kiwi mojito 7up orta,Kiwi mojito 7up medium,الموهيتو,Mojitos,
موهيتو كيوي صودا وسط,200.00,Kiwi mojito soda orta,Kiwi mojito soda medium,الموهيتو,Mojitos,
موهيتو مانجو ريد بول وسط,240.00,Mango mojito RedBull orta,Mango mojito RedBull medium,الموهيتو,Mojitos,
موهيتو مانجو سفن وسط,220.00,Mango mojito 7up orta,Mango mojito 7up medium,الموهيتو,Mojitos,
موهيتو مانجو صودا وسط,200.00,Mango mojito soda orta,Mango mojito soda medium,الموهيتو,Mojitos,
موهيتو ميكس بيري ريد بول وسط,290.00,Mix berries mojito RedBull orta,Mix berries mojito RedBull medium,الموهيتو,Mojitos,
موهيتو ميكس بيري سفن وسط,260.00,Mix berries mojito 7up orta,Mix berries mojito 7up medium,الموهيتو,Mojitos,
موهيتو ميكس بيري صودا وسط,230.00,Mix berries mojito soda orta,Mix berries mojito soda medium,الموهيتو,Mojitos,
