Name_Ar,Price,Name_tr,Name_En,Category Name,Image
موهيتو مانجو سفن وسط,220.00,Mango mojito 7up orta,Mango mojito 7up medium,Mojitos,
موهيتو مانجو صودا وسط,200.00,Mango mojito soda orta,Mango mojito soda medium,Mojitos,
موهيتو ميكس بيري ريد بول وسط,290.00,Mix berries mojito RedBull orta,Mix berries mojito RedBull medium,Mojitos,
موهيتو ميكس بيري سفن وسط,260.00,Mix berries mojito 7up orta,Mix berries mojito 7up medium,Mojitos,
موهيتو ميكس بيري صودا وسط,230.00,Mix berries mojito soda orta,Mix berries mojito soda medium,Mojitos,
اوبرا,0.00,Opera Pastası,Opera cake,Patisserie,
تشمني كيك بندق,0.00,Fındıklı Bacalı Kek,Hazelnut Chimney Cake,Patisserie,
تشمني كيك قرفة,0.00,Çimni Cake,Chimney Cake,Patisserie,
تشيز كيك بستاشيو,0.00,Fıstıklı Cheesecake,Pistachio Cheesecake,Patisserie,
تشيز كيك بلو بيري,0.00,Yaban mersinli Cheesecake,Blueberry Cheesecake,Patisserie,
تشيز كيك شوكولا,0.00,Çikolatalı Cheesecake,Chocolate Cheesecake,Patisserie,
تشيز كيك فريز,0.00,Çilekli Cheesecake,Strawberry Cheesecake,Patisserie,
تيراميسو,0.00,Tiramisu,Tiramisu,Patisserie,
فوندون,0.00,Çikolatalı Fondan,Fondant chocolate,Patisserie,
كروسان سادة,0.00,kruvasan,Croissants,Patisserie,
كوكيز بستاشيو,0.00,Fıstıklı Kurabiye,Pistachio Cookies,Patisserie,
كوكيز بندوق,0.00,	Fındıklı Kurabiye,Hazelnut Cookies,Patisserie,
كوكيز توت احمر,0.00,Ahududu kurabiye,Raspberry Cookies,Patisserie,
كوكيز سادة,0.00,kurabiye sadeli, Cookies,Patisserie,
كوكيز لوتوس,0.00,Lotuslu Kurabiye,Lotus Cookies,Patisserie,
كيكة الجزر,0.00,havuç Cake,Carrot Cake,Patisserie,
كيكة العسل,0.00,Ballı Cake,Honey Cake,Patisserie,
كيكة براونيز,0.00,Brownie Cake,Brownie Cake,Patisserie,
كيكة سان سباستيان,0.00,San Sebastian Cake,San Sebastian Cake,Patisserie,
كول لايم,160.00,Cool lime,Cool lime,Signature,
كول لايم ابل بابلز,180.00,Cool lime elma bubbles,Cool lime apple bubbles,Signature,
كول لايم ابل بابلز كبير,220.00,Cool lime elma bubbles büyük,Cool lime apple bubbles Large,Signature,
كول لايم ابل بابلز وسط,200.00,Cool lime elma bubbles orta,Cool lime apple bubbles Medium,Signature,
كول لايم بلو بيري بابلز,180.00,Cool lime blueberry bubbles,Cool lime blueberry bubbles,Signature,
كول لايم بلو بيري بابلز كبير,220.00,Cool lime blueberry bubbles büyük,Cool lime blueberry bubbles large,Signature,
كول لايم بلو بيري بابلز وسط,200.00,Cool lime blueberry bubbles orta,Cool lime blueberry bubbles Medium,Signature,
كول لايم سترو بيري بابلز,180.00,Cool lime Çilekli  bubbles,Cool lime strawberry bubbles,Signature,
كول لايم سترو بيري بابلز كبير,220.00,Cool lime Çilekli bubbles büyük,Cool lime strawberry bubbles Large,Signature,
كول لايم سترو بيري بابلز وسط,200.00,Cool lime Çilekli bubbles orta,Cool lime strawberry bubbles Medium,Signature,
كول لايم سترو بيري ميكس,160.00,Cool lime Çilekli mix,Cool lime strawberry mix,Signature,
كول لايم سترو بيري ميكس كبير,200.00,Cool lime Çilekli mix büyük,Cool lime strawberry mix large,Signature,
كول لايم سترو بيري ميكس وسط,180.00,Cool lime Çilekli mix orta,Cool lime strawberry mix Medium,Signature,
كول لايم كبير,200.00,Cool lime büyük,Cool lime large,Signature,
